Date,Open,High,Low,Close,Volume,MA20,MA50,RSI,MACD,MACD_Signal,MACD_Histogram,ATR,Price_Change_1d,Price_Change_5d,Price_Change_10d,Volume_Change,Volume_MA20,Volume_Ratio
2021-05-03,57200.29296875,58973.30859375,56590.87109375,56620.2734375,51713139031,,,,0.0,0.0,0.0,,,,,,,
2021-05-04,53333.5390625,57214.1796875,53191.42578125,57214.1796875,68564706967,,,,47.37713675213308,9.475427350426617,37.90170940170647,,1.04892861504029,,,32.586627406041124,,
2021-05-05,57424.0078125,57911.36328125,52969.0546875,53252.1640625,69241316747,,,,-232.10216079821112,-38.84009027930093,-193.26207051891018,,-6.92488408754659,,,0.9868193272169146,,
2021-05-06,56396.515625,58363.31640625,55382.5078125,57441.30859375,69523285106,,,,-114.24561181858735,-53.92119458715821,-60.32441723142914,,7.8666183900683695,,,0.4072255876217401,,
2021-05-07,57356.40234375,58606.6328125,55321.84765625,56413.953125,68434023376,,,,-102.56019788220146,-63.64899524616687,-38.911202636034595,,-1.788530752347417,,,-1.5667581420228283,,
2021-05-08,58803.77734375,59464.61328125,56975.2109375,57352.765625,65382980634,,,,-17.34515621828905,-54.38822744059131,37.04307122230226,,1.6641494665686984,1.2936924232776148,,-4.458371131033056,,
2021-05-09,58232.31640625,59210.8828125,56482.00390625,58877.390625,65906690347,,,,171.23893803371175,-9.262794345730697,180.50173237944244,,2.6583286496918657,2.906990795960618,,0.8009878227051459,,
2021-05-10,55859.796875,59519.35546875,54071.45703125,58250.87109375,71776546298,,,,267.0598021139449,46.00172494620442,221.05807716774046,,-1.0641088618216887,9.386861772196164,,8.90631272803275,,
2021-05-11,56704.57421875,56872.54296875,54608.65234375,55847.2421875,61308396325,,,,147.34723527237657,66.27082701143885,81.07640826093771,,-4.126339848860894,-2.775122025028942,,-14.584360091022774,,
2021-05-12,49150.53515625,57939.36328125,49150.53515625,56714.53125,75215403907,,,,121.06161968115339,77.22898554538176,43.83263413577163,,1.5529666793360875,0.532808123433548,,22.683691656650097,,
2021-05-13,49716.19140625,51330.84375,46980.01953125,49735.43359375,96721152926,,,,-457.6492781573397,-29.746667195162544,-427.90261096217716,,-12.30566047612357,-13.281542656644996,-12.159672544410782,28.59221369812859,,
2021-05-14,49880.53515625,51438.1171875,48868.578125,49682.98046875,55737497453,,,,-910.0241707298774,-205.8021679021055,-704.2220028277718,,-0.10546429619664455,-15.616198439925345,-13.163169095292293,-42.373001389216306,,
2021-05-15,46760.1875,50639.6640625,46664.140625,49855.49609375,59161047474,,,,-1240.3163680931975,-412.705007940324,-827.6113601528735,,0.3472328418551829,-14.412445414744667,-6.378459971623807,6.142274370834233,,
2021-05-16,46456.05859375,49720.04296875,43963.3515625,46716.63671875,64047871555,,,31.297111662542733,-1735.3509871887509,-677.2342037900094,-1058.1167833987415,4683.831473214285,-6.29591443458426,-16.34925040361913,-18.67066077977011,8.260205472439708,,
2021-05-17,43537.51171875,46623.55859375,42207.2890625,46415.8984375,74903638450,,,30.945606516329477,-2127.413061768588,-967.269975385725,-1160.1430863828627,4835.753627232143,-0.6437498552401055,-18.158719794585277,-17.722662805328802,16.9494576969319,,
2021-05-18,42909.40234375,45812.45703125,42367.83203125,43488.05859375,56187365084,,,26.424425778096122,-2643.9000529007317,-1302.5959908887264,-1341.3040620120053,4837.561662946428,-6.307838353473649,-12.561215512927737,-24.174434973030124,-24.98713514229829,,
2021-05-19,37002.44140625,43546.1171875,30681.49609375,42944.9765625,126358098747,,,29.94083144320132,-3061.747970919925,-1654.426386894966,-1407.321584024959,5403.441127232143,-1.248807256086737,-13.561996165846214,-27.060326372097954,124.88703386979418,,
2021-05-20,40782.73828125,42462.984375,35050.6171875,36753.66796875,88281943359,,,12.649766647258218,-3848.1235441296085,-2093.165818341895,-1754.9577257877136,5602.241629464285,-14.416840080793792,-26.279606365490515,-36.904517857599096,-30.133529837480243,,
2021-05-21,37304.69140625,42172.171875,33616.453125,40596.94921875,82051616861,,,24.07902723654206,-4113.789964232579,-2497.2906475200316,-1616.4993167125476,5978.736886160715,10.456864477493166,-13.099589203826023,-27.307154966666193,-7.057305560961968,,
2021-05-22,37536.6328125,38831.0546875,35383.68359375,37371.03125,57377273240,50577.2904296875,,19.537397964190873,-4532.390559094078,-2904.310629834841,-1628.0799292592365,6133.208705357143,-7.946207857560106,-19.48657139466794,-34.106779292123655,-30.071733580582215,71394699694.35,0.8036629257583485
2021-05-23,34770.58203125,38289.21875,31227.33984375,37531.44921875,78469274361,49622.84921875,,16.045277428951877,-4795.90593865401,-3282.629691598675,-1513.2762470553353,6442.708705357143,0.429257538216854,-13.69711494974869,-24.53780633478505,36.760201260829376,72732506460.85,1.0788748824879002
2021-05-24,38705.98046875,39835.140625,34551.08203125,34700.36328125,67359584098,48497.1583984375,,14.993687293902227,-5173.551271629411,-3660.814007604822,-1512.7372640245885,6431.005859375,-7.54323639622646,-19.198085413438747,-30.156437971598514,-14.158013252282121,72672250317.4,0.9268955317030003
2021-05-25,38402.22265625,39776.3515625,36581.4296875,38795.78125,56211915803,47774.3392578125,,25.867822635732423,-5083.769386605811,-3945.40508340502,-1138.3643032007908,6533.41796875,11.802233698697083,5.556216274757442,-22.183541856554644,-16.54949098079569,72020780270.2,0.7804957901332094
2021-05-26,39294.19921875,40782.078125,37905.8359375,38392.625,51346735160,46821.905078125,,23.724629387045013,-4987.653372566165,-4153.854741237249,-833.7986313289157,6111.090401785715,-1.0391754902474126,-5.429778003446417,-17.81808859414126,-8.655069967816942,71111952772.9,0.7220549170401589
2021-05-27,38436.96875,40379.6171875,37247.90234375,39316.890625,43210968721,45967.051953125,,31.91874336565634,-4781.778857320678,-4279.4395644539345,-502.33929286674356,5639.462053571428,2.4074040912805517,5.206865611983891,-15.294345367587713,-15.844758997136598,69850800040.15,0.6186180930807161
2021-05-28,35697.60546875,38856.96875,34779.0390625,38507.08203125,55200191952,45024.7677734375,,31.10116747453209,-4630.5880695805245,-4349.669265479253,-280.91880410127123,5780.055803571428,-2.0596964329500533,2.5995074339218327,-11.453665037178396,27.745786743201116,69341660606.05,0.7960610038690626
